Concepto,Definición
Carretera,"vialidad que se comunica con otras localidades. Se incluyen las carreteras pavimentadas y de terracería, siempre y cuando estén limitando la manzana

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario de Estadísticas Sociodemográficas: Otros Censos y Encuestas; Características de las localidades y del entorno urbano 2014.

Sitio(s) web:
https://www.inegi.org.mx/app/glosario/default.html?p=entorno
"
Carretera federal,"vía de comunicación pavimentada para el tránsito del transporte terrestre; debido a que cruza el territorio de diferentes entidades federativas, su seguridad y mantenimiento depende del gobierno federal

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Cuéntame: Glosario de términos.

Sitio(s) web:
http://cuentame.inegi.org.mx/glosario/default.aspx?tema=G
"
Cartografía,"disciplina que trata sobre la concepción, producción, difusión y estudio de los mapas. Arte de trazar mapas geográficos

Fuente: 
Instituto Nacional de Estadística y Geografía. (INEGI). Censo Nacional de Gobierno, Seguridad Pública y Sistema Penitenciario Estatales (2020).

Sitio(s) web:
https://www.inegi.org.mx/app/glosario/default.html?p=CNGSPSPE2020
"
Catastro,"el inventario público, sistemáticamente organizado, gráfico y alfanumérico descriptivo de los bienes inmuebles urbanos, rurales y de características especiales de un país. Es el término empleado para designar una serie de registros que muestran la extracción, el valor y la propiedad (u otro fundamento del uso o de la ocupación)

Fuente: 
Instituto Nacional de Estadística y Geografía. (2013). Diccionario de Datos Catastrales Escala 1:1 000. México: INEGI.

Sitio(s) web: 
No hay URLs
"
Cenote,"término que se aplica generalmente a cavidades con flujo de agua subterránea que se da a través de la roca calcárea, cuyo techo ha colapsado y es expuesto al exterior

Fuente: 
Instituto Nacional de Estadística y Geografía. (2014). Diccionario de Datos de Cuerpos de Agua Escala 1:50 000. México: INEGI.

Sitio(s) web: 
No hay URLs
"
Centro urbano,"ciudad con 15 mil o más habitantes, que no reúne características de conurbación o zona metropolitana

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario de las características del entorno urbano.

Sitio(s) web:
https://www.inegi.org.mx/app/glosario/default.html?p=entorno
"
Centros de población,"las áreas constituidas por las zonas urbanizadas y las que se reserven para su expansión

Fuente: 
Secretaría de Desarrollo Agrario, Territorial y Urbano (SEDATU). Ley General de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano. (Art. 3. Frac. VI).

Sitio(s) web:
http://dof.gob.mx/nota_detalle.php?codigo=5462755&fecha=28/11/2016
"
Ciclovía,"todo espacio físico o infraestructura vial destinada al tránsito de vehículos no motorizados de propulsión humana

Fuente: 
Secretaría de Gestión Urbanística y Ordenamiento Territorial. (2013). Código de Ordenamiento Territorial, Desarrollo Urbano y Vivienda para el Estado de Aguascalientes. Aguascalientes: Periódico Oficial del Estado de Aguascalientes.

Sitio(s) web: 
No hay URLs
"
Ciudad,"agrupación de personas en un espacio físico continuo, en donde históricamente se han manifestado las realidades sociales, económicas y demográficas. El concepto alude principalmente al componente físico territorial

Fuente: 
Secretaría de Desarrollo Agrario, Territorial y Urbano. (2020). REGLAS de Operación del Programa de Mejoramiento Urbano, para el ejercicio fiscal 2021. Diario Oficial de la Federación.

Sitio(s) web: 
No hay URLs
"
Ciudad central,"la ciudad central es la localidad geoestadística urbana o conurbación que da origen a la zona metropolitana

Fuente: 
Secretaría de Gobernación (2015). Delimitación de las Zonas Metropolitanas de México 2015. (México). Secretaría de Gobernación, CONAPO, SEDATU e INEGI.

Sitio(s) web: 
No hay URLs
"
Ciudad difusa,"es la ciudad con expansión de sus límites más allá de los políticos, en donde se conforman grandes corredores manufactureros y asentamientos de población basados y conectados a través de la infraestructura carretera regional

Fuente: 
Montaño Salazar, Rodolfo; Vieyra Medrano, Antonio; Rodríguez Rodríguez, Jesús. (2013). Transformación hacia una estructura urbana difusa por cambios en los sectores industrial y laboral en la Zona Metropolitana de Guadalajara. México: Intersticios Sociales.

Sitio(s) web: 
No hay URLs
"
Clima cálido húmedo,"clima cálido con temperaturas promedio superiores a los 18° centígrados con lluvias todo el año o lluvias muy abundantes en verano y otoño. Se presenta en el sureste del país, abarcando parte de Veracruz, Tabasco y Norte de Chiapas

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Cuéntame: Glosario de términos.

Sitio(s) web:
http://cuentame.inegi.org.mx/glosario/default.aspx?tema=G
"
Clima cálido subhúmedo,"condiciones de temperaturas promedio que van de los 18° a 26° centígrados y más, con lluvias

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Cuéntame: Glosario de términos.

Sitio(s) web:
http://cuentame.inegi.org.mx/glosario/default.aspx?tema=G
"
Clima seco o semiseco,"se caracteriza porque llueve poco. Se presenta principalmente en la Altiplanicie Mexicana y en las llanuras al norte del Trópico de Cáncer, con excepción de la costa del Golfo que recibe la humedad del mar. La falta de lluvia se debe al descenso de los vientos llamados contralisios, que tienen poca humedad por lo que no producen lluvias

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Cuéntame: Glosario de términos.

Sitio(s) web:
http://cuentame.inegi.org.mx/glosario/default.aspx?tema=G
"
Clima templado húmedo,"clima templado con lluvias todo el año debido a que los vientos húmedos llamados Alisios penetran por el Golfo y ascienden a la Sierra Madre Oriental y Sierra de Chiapas. Se localiza en las partes altas de las sierras, en los límites de Puebla y Veracruz, Tabasco y Chiapas

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Cuéntame: Glosario de términos.

Sitio(s) web:
http://cuentame.inegi.org.mx/glosario/default.aspx?tema=G
"
Clima templado subhúmedo,"clima templado con lluvias en verano y parte del otoño. Se localiza en la mayor parte de las grandes sierras del país, inclusive en zonas que debieran ser de clima cálido, pero que debido a la altitud tienen clima templado

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Cuéntame: Glosario de términos.

Sitio(s) web:
http://cuentame.inegi.org.mx/glosario/default.aspx?tema=G
"
Código urbano,"es el instrumento técnico-legal para la normalización sistémica de los objetivos propuestos para el planeamiento físico del asentamiento urbano (permanente y transitorio) y las de ordenamiento ambiental en el área

Fuente: 
Arq. Guillermo Costa. (1995). Código Urbano Ciudad de San Carlos De Bariloche. Argentina: Consejo de Planificación Municipal.

Sitio(s) web: 
No hay URLs
"
Coeficiente de ocupación del suelo (COS),"el factor que, multiplicado por el área total de un lote o predio, determina la máxima superficie de desplante edificable del mismo; excluyendo de su cuantificación, las áreas ocupadas por sótanos

Fuente: 
Secretaría de Gestión Urbanística y Ordenamiento Territorial. (2013). Código de Ordenamiento Territorial, Desarrollo Urbano y Vivienda para el Estado de Aguascalientes. Aguascalientes: Periódico Oficial del Estado de Aguascalientes.

Sitio(s) web: 
No hay URLs
"
Coeficiente de utilización del suelo (CUS),"el factor que, multiplicado por el área total de un lote o predio, determina la máxima superficie construida que puede tener una edificación, en un lote o predio determinado; excluyendo de su cuantificación las áreas ocupadas por sótanos

Fuente: 
Secretaría de Gestión Urbanística y Ordenamiento Territorial. (2013). Código de Ordenamiento Territorial, Desarrollo Urbano y Vivienda para el Estado de Aguascalientes. Aguascalientes: Periódico Oficial del Estado de Aguascalientes.

Sitio(s) web: 
No hay URLs
"
Comercio,"toda aquella actividad enfocada a realizar una negociación que involucra la compra, venta o intercambio de productos, bienes o servicios

Fuente: 
Definición realizada con base en el concepto manejado en la página de internet

Sitio(s) web:
https://www.significados.com/comercio/
"
Comunidad,"es el conjunto de personas que viven en el medio rural y comparten tradiciones, usos y costumbres; está conformada por el conjunto de tierras, bosques y aguas, que le fueron reconocidos o restituidos, y de los cuales ha tenido presuntamente la posesión por tiempo inmemorial, con costumbres y prácticas comunales

Fuente: 
Secretaría de Desarrollo Agrario, Territorial y Urbano (SEDATU), Programa Sectorial de Desarrollo Agrario, Territorial y Urbano 2013-2018.

Sitio(s) web:
http://www.dof.gob.mx/nota_detalle.php?codigo=5326473&fecha=16/12/2013
"
Condominio,"el grupo de departamentos, viviendas, casas, locales o naves de un inmueble, construidos en forma vertical, horizontal o mixta, para uso habitacional, comercial o de servicios, industrial o mixto, y susceptibles de aprovechamiento independiente por tener salida propia a un elemento común de aquél o a la vía pública y que pertenecen a distintos propietarios, los que tendrán un derecho singular y exclusivo de propiedad sobre los elementos y partes comunes del inmueble, necesarios para su adecuado uso y disfrute

Fuente: 
Instituto Nacional de Estadística y Geografía. (2013). Diccionario de Datos Catastrales Escala 1:1 000. México: INEGI.

Sitio(s) web: 
No hay URLs
"
Consejos Estatales de Ordenamiento Territorial,"órgano estratégico para la toma de decisiones en materia de ordenamiento territorial, con visión de largo plazo y que contribuya a: definir la ocupación y el uso del territorio en zonas aptas para el desarrollo; el aprovechamiento de las vocaciones del territorio; integrar sistemas urbano-rurales en función de la dinámica económica, la movilidad y conectividad; promover y dar seguimiento a los programas de ordenamiento territorial; identificar e instrumentar acciones para reducir la vulnerabilidad de los asentamientos humanos ante fenómenos naturales y de impactos al medio ambiente; converger las políticas sectoriales y el aprovechamiento de las ventajas de la competitividad, así como definir financiamiento y recursos que pueden contribuir a fortalecer la realización de acciones en materia de ordenamiento territorial en beneficio del desarrollo territorial de las entidades federativas

Fuente: 
Secretaría de Desarrollo Agrario, Territorial y Urbano (SEDATU). Programa Sectorial de Desarrollo Agrario, Territorial y Urbano 2013-2018.

Sitio(s) web:
http://www.dof.gob.mx/nota_detalle.php?codigo=5326473&fecha=16/12/2013
"
Conservación,"acción tendiente a preservar las zonas con valores históricos y culturales, así como proteger y mantener el equilibrio ecológico en las zonas de servicios ambientales

Fuente: 
Secretaría de Desarrollo Agrario, Territorial y Urbano (SEDATU). Ley General de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano. (Art. 3. Frac. VIII)

Sitio(s) web:
http://dof.gob.mx/nota_detalle.php?codigo=5462755&fecha=28/11/2016
"
Conservación del suelo,"se entiende como todas las estrategias para recuperar la productividad de suelos degradados, dichas estrategias se deben conectar con otras medidas que afectan las prácticas de manejo de tierras, en particular la agricultura de conservación, buenas prácticas agrícolas y manejo de riegos

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario: Estadísticas de gobierno; Censo nacional de gobierno, seguridad pública y sistema penitenciario estatales. (2020).

Sitio(s) web:
https://www.inegi.org.mx/app/glosario/default.html?p=CNGSPSPE2020
"
Consolidación urbana,"es un proceso que se da principalmente en los asentamientos periféricos a los grandes centros de población, especialmente en los de carácter popular y/o de origen irregular. Dura varios años y en ocasiones, varios lustros, implicando en gran parte de los casos, la regularización de la tenencia de la tierra, así como la introducción y/o construcción diferida en el tiempo, de infraestructura y equipamiento urbanos, introducción de servicios y construcción paulatina de las viviendas

Fuente: 
Secretaría de Desarrollo Social. (2006). Manual de Procedimientos del Programa de Suelo Libre de CORETT. México: CORETT.

Sitio(s) web: 
No hay URLs
"
